Date,AAPL,GOOG,AMZN,META
2017-01-03,26.8919620513916,39.2107048034668,37.68349838256836,116.50920104980469
2017-01-04,26.86186408996582,39.24861145019531,37.85900115966797,118.33370971679688
2017-01-05,26.99846649169922,39.60374069213867,39.022499084472656,120.30776977539062
2017-01-06,27.299453735351562,40.20875549316406,39.79949951171875,123.03955078125
2017-01-09,27.549501419067383,40.23369216918945,39.84600067138672,124.52507019042969
2017-01-10,27.577281951904297,40.14091873168945,39.79499816894531,123.97672271728516
2017-01-11,27.725460052490234,40.296539306640625,39.95100021362305,125.71148681640625
2017-01-12,27.609697341918945,40.2192268371582,40.68199920654297,126.23990631103516
2017-01-13,27.561071395874023,40.2950439453125,40.856998443603516,127.9547348022461
2017-01-17,27.78333282470703,40.13194274902344,40.486000061035156,127.48616027832031
2017-01-18,27.781023025512695,40.20476531982422,40.374000549316406,127.53600311279297
2017-01-19,27.732406616210938,40.01049041748047,40.45199966430664,127.16712188720703
2017-01-20,27.78333282470703,40.15238952636719,40.416500091552734,126.65865325927734
2017-01-23,27.801862716674805,40.865142822265625,40.89400100708008,128.54296875
2017-01-24,27.776397705078125,41.092586517333984,41.12200164794922,128.98162841796875
2017-01-25,28.218618392944336,41.6811408996582,41.82600021362305,131.08531188964844
2017-01-26,28.232505798339844,41.50556564331055,41.95750045776367,132.3814239501953
2017-01-27,28.234819412231445,41.06465148925781,41.78850173950195,131.78321838378906
2017-01-30,28.160728454589844,40.01772689819336,41.51900100708008,130.58682250976562
2017-01-31,28.09590721130371,39.74190139770508,41.17399978637695,129.92880249023438
2017-02-01,29.80921173095703,39.687286376953125,41.61750030517578,132.830078125
2017-02-02,29.75827407836914,39.82868576049805,41.997501373291016,130.44723510742188
2017-02-03,29.8856143951416,39.97632598876953,40.5099983215332,130.58682250976562
2017-02-06,30.165761947631836,39.96884536743164,40.38199996948242,131.66358947753906
2017-02-07,30.45285987854004,40.24965286254883,40.625,131.44422912597656
2017-02-08,30.5709285736084,40.319976806640625,40.98550033569336,133.79713439941406
2017-02-09,30.79183578491211,40.37883758544922,41.06800079345703,133.73733520507812
2017-02-10,30.72208023071289,40.583831787109375,41.37300109863281,133.7871856689453
2017-02-13,30.99415397644043,40.861656188964844,41.826499938964844,133.64759826660156
2017-02-14,31.39642906188965,40.92200469970703,41.81949996948242,133.44821166992188
2017-02-15,31.510358810424805,40.84868240356445,42.1349983215332,133.0394287109375
2017-02-16,31.47315788269043,41.10704803466797,42.207000732421875,133.438232421875
2017-02-17,31.559188842773438,41.30207061767578,42.253501892089844,133.12916564941406
2017-02-21,31.787073135375977,41.48113250732422,42.821998596191406,133.318603515625
2017-02-22,31.882408142089844,41.43623733520508,42.78049850463867,135.7113800048828
2017-02-23,31.747554779052734,41.46466827392578,42.609500885009766,134.95367431640625
2017-02-24,31.77777862548828,41.330501556396484,42.262001037597656,135.03343200683594
2017-02-27,31.840560913085938,41.362422943115234,42.43199920654297,136.00051879882812
2017-02-28,31.85451889038086,41.059661865234375,42.25199890136719,135.13311767578125
2017-03-01,32.50559616088867,41.659690856933594,42.65399932861328,137.00747680664062
2017-03-02,32.3126106262207,41.42975616455078,42.445499420166016,136.34945678710938
2017-03-03,32.503273010253906,41.35244369506836,42.49399948120117,136.75823974609375
2017-03-06,32.40095901489258,41.28760528564453,42.330501556396484,137.00747680664062
2017-03-07,32.44282150268555,41.49359893798828,42.30099868774414,136.8878631591797
2017-03-08,32.321903228759766,41.666175842285156,42.525001525878906,137.30657958984375
2017-03-09,32.24748992919922,41.831268310546875,42.650001525878906,137.8250274658203
2017-03-10,32.35445785522461,42.059207916259766,42.62300109863281,138.3733673095703
2017-03-13,32.3684196472168,42.173431396484375,42.72949981689453,139.18093872070312
2017-03-14,32.319576263427734,42.17741775512695,42.62649917602539,138.9018096923828
2017-03-15,32.66140365600586,42.2562255859375,42.64849853515625,139.30059814453125
2017-03-16,32.71488952636719,42.33503341674805,42.67100143432617,139.5697784423828
2017-03-17,32.55210876464844,42.501625061035156,42.615501403808594,139.4202117919922
2017-03-20,32.89392852783203,42.316078186035156,42.8484992980957,139.51992797851562
2017-03-21,32.51721954345703,41.42127227783203,42.15999984741211,138.09420776367188
2017-03-22,32.88462829589844,41.37788009643555,42.40299987792969,139.1709747314453
2017-03-23,32.76837158203125,40.77885437011719,42.36899948120117,139.11114501953125
2017-03-24,32.703250885009766,40.62173843383789,42.28049850463867,139.91871643066406
2017-03-27,32.75905990600586,40.875118255615234,42.340999603271484,139.89878845214844
2017-03-28,33.43805694580078,40.94544982910156,42.79999923706055,141.33444213867188
2017-03-29,33.51246643066406,41.468658447265625,43.715999603271484,142.22178649902344
2017-03-30,33.46828079223633,41.47315216064453,43.81700134277344,141.98251342773438
2017-03-31,33.405487060546875,41.37638854980469,44.32699966430664,141.6235809326172
2017-04-03,33.4148063659668,41.82478713989258,44.57550048828125,141.85289001464844
2017-04-04,33.66360855102539,41.62627410888672,45.34149932861328,141.30453491210938
2017-04-05,33.48920440673828,41.468658447265625,45.4640007019043,141.4241943359375
2017-04-06,33.405487060546875,41.29259490966797,44.91400146484375,140.7462158203125
2017-04-07,33.331085205078125,41.13248825073242,44.74399948120117,140.35739135742188
2017-04-10,33.29155731201172,41.13547897338867,45.35200119018555,140.61660766601562
2017-04-11,32.9334602355957,41.066646575927734,45.11800003051758,139.49998474121094
2017-04-12,32.972991943359375,41.115028381347656,44.811500549316406,139.16099548339844
2017-04-13,32.7985954284668,41.07712173461914,44.23350143432617,138.97157287597656
